LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3
11291015,18853816,0.1867,-,+,2.0,Interchromosomal,No,Yes,InFrame,AC-AG,NonCanonicalPattern,10711139,4,5,M,M,11288378,11293799,5421,18850645,18853896,3251,1,No,7,5
18025745,18013145,0.0826,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,24205502,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.2162,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,9250356,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.2259,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,8854433,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.36,-,-,3.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,8271513,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5061,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3951528,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5071,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3943736,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3984959,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3997108,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3998794,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5215,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3835091,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5308,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3767898,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.5502,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,3634960,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025745,18013145,0.6875,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AC-CG,NonCanonicalPattern,2909232,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.0482,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,41469539,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.0671,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,29826787,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.0681,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,29348236,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.07,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,30405575,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.0891,-,-,3.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,33673138,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.1011,-,-,3.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,29659865,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.1146,-,-,3.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,26180444,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.2155,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,9282143,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.2453,-,-,2.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,8154667,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
18025759,18013159,0.3795,-,-,3.0,Intrachromosomal,Yes,No,InFrame,AA-GG,NonCanonicalPattern,7905139,1,1,M,M,18023378,18026097,2719,18011035,18013257,2222,2,Yes,9,9
