LeftBreakpoint,RightBreakpoint,FFPM,Total_Count_(SC+RC),Splice_Site,Total_Mapped_Reads,Left_Exon,Right_Exon,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,exon_count5,exon_count3,LeftStrand__,LeftStrand_+,RightStrand__,RightStrand_+,Chromosome_Feature_Intrachromosomal,Chromosome_Feature_Interchromosomal,Same_Strand_Yes,Same_Strand_No,Reciprocal_Fusion_No,Reciprocal_Fusion_Yes,Splice_Pattern_FrameShift,Splice_Pattern_InFrame,Splice_Pattern_Unknown,Splice_Pattern_Class_CanonicalPattern,Splice_Pattern_Class_NonCanonicalPattern,5_loc_S,5_loc_E,5_loc_M,3_loc_E,3_loc_S,3_loc_M,3_loc_O,alternative_junction_Yes,alternative_junction_No
10836510,10859913,0.5098,2.0,0,3923107,15,2.0,10835735,10840872,5137,10858232,10860322,2090,2,16,7,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
13522254,10208897,1.2657,5.0,0,3950383,5,4.0,13520325,13523918,3593,10207727,10210231,2504,1,12,4,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
18149839,29883500,1.2653,5.0,0,3951632,2,16.0,18149197,18151295,2098,29882121,29887414,5293,1,5,20,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
1605816,1599614,1.0088,4.0,0,3965107,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
7207352,6853002,0.8311,3.0,0,3609674,8,3.0,7201522,7209692,8170,6851184,6853912,2728,3,16,10,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
25619156,25059179,1.0957,2.0,0,1825317,5,9.0,25618606,25620223,1617,25056025,25062670,6645,1,7,20,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
26235779,24840620,1.1033,3.0,1,2719115,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1605816,1599614,1.0147,4.0,0,3942052,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
7207089,6853232,0.5,2.0,0,4000000,8,2.0,7201522,7209692,8170,6851184,6853912,2728,3,16,10,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
8621741,487149,0.5065,2.0,2,3948667,1,2.0,8615971,8621774,5803,485743,488226,2483,2,21,5,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
24615723,21342827,1.2546,5.0,0,3985334,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
10042722,10046017,0.8705,8.0,0,9190121,1,3.0,10039198,10043066,3868,10045174,10047453,2279,1,14,4,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
13884192,21648538,0.8455,3.0,3,3548196,2,1.0,13883167,13885063,1896,21647821,21649567,1746,8,3,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
24615723,21342827,2.554,10.0,0,3915427,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
18848095,6094099,0.327,3.0,4,9174312,9,3.0,18842553,18849741,7188,6092682,6095080,2398,1,11,9,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
27872859,4198774,0.7573,3.0,5,3961442,1,2.0,27871174,27873332,2158,4198337,4200849,2512,2,1,10,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1605816,1599614,1.0146,4.0,0,3942440,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
13884184,21648530,1.44,2.0,6,1388889,2,1.0,13883167,13885063,1896,21647821,21649567,1746,8,3,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7207352,6853002,1.0151,4.0,0,3940499,8,3.0,7201522,7209692,8170,6851184,6853912,2728,3,16,10,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
10836510,10859913,0.6367,2.0,0,3141197,15,2.0,10835735,10840872,5137,10858232,10860322,2090,2,16,7,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
27872859,4198774,0.3512,4.0,5,11389522,1,2.0,27871174,27873332,2158,4198337,4200849,2512,2,1,10,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7535404,7483288,1.6088,5.0,0,3107907,6,1.0,7533946,7536496,2550,7483159,7483861,702,3,9,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
11465197,11459003,0.5106,2.0,0,3916960,1,3.0,11464934,11469207,4273,11456802,11463896,7094,2,10,12,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
7535404,7483288,1.5176,6.0,0,3953611,6,1.0,7533946,7536496,2550,7483159,7483861,702,3,9,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
24615723,21342827,2.248,4.0,0,1779359,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
7207352,6853002,0.7616,3.0,0,3939076,8,3.0,7201522,7209692,8170,6851184,6853912,2728,3,16,10,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
7535404,7483288,5.082,20.0,0,3935459,6,1.0,7533946,7536496,2550,7483159,7483861,702,3,9,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
17118707,122945,0.759,3.0,0,3952569,7,1.0,17115483,17119790,4307,122011,123192,1181,1,11,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
10653957,10633836,1.0119,4.0,0,3952960,2,1.0,10651744,10657282,5538,10633619,10639036,5417,1,5,8,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
7535404,7483288,0.9,2.0,0,2222222,6,1.0,7533946,7536496,2550,7483159,7483861,702,3,9,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
18149839,29883500,1.1286,4.0,0,3544214,2,16.0,18149197,18151295,2098,29882121,29887414,5293,1,5,20,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
24615723,21342827,1.2596,5.0,0,3969514,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
24615723,21342827,7.6498,30.0,0,3921671,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
22309259,22314366,1.0381,3.0,7,2889895,6,7.0,22308478,22311377,2899,22314089,22317070,2981,4,6,7,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13678519,13679371,0.1821,2.0,8,10982976,2,1.0,13677986,13678906,920,13678910,13679523,613,1,3,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
11457626,7072983,0.5036,2.0,0,3971406,1,8.0,11456802,11463896,7094,7072192,7076619,4427,1,12,8,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
6580271,6572891,3.285,7.0,0,2130898,7,5.0,6578890,6581945,3055,6571472,6573623,2151,1,14,7,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
24615723,21342827,1.9423,4.0,0,2059414,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
