LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3
133006243,23954692,0.117123,+,+,4,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,34152006,2,1,M,M,133003877,133006295,2418,23954465,23959087,4622,1,No,2,17
133059308,179564523,39.453,-,-,156,Interchromosomal,Yes,No,InFrame,CT-TT,NonCanonicalPattern,3954074,9,4,M,M,133059030,133061923,2893,179564407,179566950,2543,1,No,9,5
133167647,225114448,0.3282,+,+,8,Interchromosomal,Yes,No,NF,GT-AG,CanonicalPattern,24382024,2,24,M,M,133164716,133167805,3089,225102749,225114872,12123,1,No,2,23
133259954,242142473,0.609085,+,+,21,Interchromosomal,Yes,No,InFrame,CA-TG,NonCanonicalPattern,34477939,3,1,M,M,133258512,133260292,1780,242141186,242145267,4081,1,No,3,5
133462742,267596399,0.320059,+,+,10,Interchromosomal,Yes,No,InFrame,AG-GA,NonCanonicalPattern,31244229,1,1,M,M,133462513,133465886,3373,267595877,267603988,8111,1,No,7,12
133566606,144216234,2.06558,-,+,9,Intrachromosomal,No,No,InFrame,GC-CT,NonCanonicalPattern,4357137,1,1,M,M,133566162,133566997,835,144215114,144216374,1260,1,No,1,1
134433660,209883714,0.134559,-,+,4,Interchromosomal,No,No,InFrame,TC-GG,NonCanonicalPattern,29726657,1,1,M,M,134433367,134435275,1908,209883191,209883920,729,1,No,1,1
134433671,165569698,0.557595,-,-,26,Interchromosomal,Yes,No,InFrame,TG-CT,NonCanonicalPattern,46628858,1,1,M,M,134433367,134435275,1908,165569040,165570007,967,1,No,1,1
134433716,38239496,0.120745,-,+,4,Interchromosomal,No,No,InFrame,CC-AA,NonCanonicalPattern,33127732,1,2,M,M,134433367,134435275,1908,38238649,38239641,992,1,No,1,2
134445762,20588442,1.70901,+,+,9,Interchromosomal,Yes,No,InFrame,GC-CT,NonCanonicalPattern,5266220,6,1,M,M,134442846,134446892,4046,20587711,20588602,891,2,Yes,5,1
134445763,20588443,1.48523,+,+,8,Interchromosomal,Yes,No,InFrame,CC-TG,NonCanonicalPattern,5386378,6,1,M,M,134442846,134446892,4046,20587711,20588602,891,2,Yes,5,1
13444696,78639241,0.198795,+,+,21,Interchromosomal,Yes,No,InFrame,GC-AG,CanonicalPattern,105636610,1,2,M,M,13444342,13448757,4415,78638685,78642724,4039,1,No,3,11
134496129,97244988,0.128,+,+,3,Interchromosomal,Yes,No,NF,GT-AG,CanonicalPattern,23555052,NF,3,O,S,134491007,134496051,5044,97241859,97245020,3161,1,No,2,3
134521485,160751812,0.120334,+,-,4,Interchromosomal,No,No,InFrame,CT-GC,NonCanonicalPattern,33240814,1,5,M,M,134520322,134522682,2360,160748564,160754101,5537,1,No,2,5
134570656,1184573,0.259754,-,-,6,Interchromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,23098816,1,5,S,E,134567737,134571146,3409,1181957,1187237,5280,3,Yes,8,12
134570656,1184592,0.1936,-,-,6,Interchromosomal,Yes,No,NF,GT-AG,CanonicalPattern,28776357,1,1,S,M,134567737,134571146,3409,1181957,1187237,5280,3,Yes,8,12
134570656,47589605,0.1325,-,-,4,Interchromosomal,Yes,No,NF,GT-AG,CanonicalPattern,30317842,1,3,S,E,134567737,134571146,3409,47536270,47591318,55048,1,No,8,18
134572016,78507795,0.221475,+,+,7,Intrachromosomal,Yes,No,InFrame,CT-GC,NonCanonicalPattern,31606298,1,1,M,M,134571865,134591745,19880,78507234,78514046,6812,1,No,16,3
134594560,54462643,0.194594,-,+,6,Interchromosomal,No,No,InFrame,GG-CC,NonCanonicalPattern,30833417,1,1,M,M,134594266,134595576,1310,54462611,54473973,11362,1,No,1,12
134675683,28227383,0.0661588,-,+,4,Interchromosomal,No,No,InFrame,CG-GG,NonCanonicalPattern,60460618,2,2,M,M,134675325,134676688,1363,28226442,28227705,1263,1,No,2,2
134770224,155761942,0.141221,+,+,4,Interchromosomal,Yes,No,InFrame,GC-AC,NonCanonicalPattern,28324445,12,3,M,M,134765895,134770727,4832,155760412,155762247,1835,2,Yes,11,4
134770226,155761944,0.132248,+,+,7,Interchromosomal,Yes,No,InFrame,AT-AC,CanonicalPattern,52931044,12,3,M,M,134765895,134770727,4832,155760412,155762247,1835,2,Yes,11,4
134956886,206169779,0.0885018,+,-,4,Interchromosomal,No,No,InFrame,GC-GC,NonCanonicalPattern,45196816,1,2,M,M,134956260,134961704,5444,206164655,206187296,22641,1,No,8,16
13500450,27163032,0.44228,-,+,10,Interchromosomal,No,No,InFrame,TC-CA,NonCanonicalPattern,22610111,1,7,M,M,13498989,13500867,1878,27159919,27163267,3348,1,No,6,7
135014627,143697223,0.141608,-,-,4,Interchromosomal,Yes,No,InFrame,AA-CC,NonCanonicalPattern,28246992,1,1,M,M,135009575,135014805,5230,143696481,143697381,900,1,No,3,1
135099154,7323800,4.39492,-,+,22,Interchromosomal,No,No,InFrame,CC-AA,NonCanonicalPattern,5005778,1,2,M,M,135098994,135100856,1862,7323087,7323898,811,1,No,1,1
135100363,141562371,0.351372,-,-,10,Interchromosomal,Yes,No,InFrame,AT-AC,CanonicalPattern,28459877,1,1,M,M,135098994,135100856,1862,141559671,141562544,2873,1,No,1,2
135107608,32339508,0.0866617,-,+,4,Interchromosomal,No,No,InFrame,GC-GA,NonCanonicalPattern,46156476,1,1,M,M,135106893,135107698,805,32339255,32340527,1272,1,No,1,3
135108608,200582941,0.0567985,+,+,6,Interchromosomal,Yes,No,InFrame,TC-CG,NonCanonicalPattern,105636610,1,1,M,M,135108430,135115455,7025,200582811,200586807,3996,1,No,12,6
135115065,166414031,0.1627,+,-,4,Interchromosomal,No,No,NF,GT-AG,CanonicalPattern,24750663,10,2,M,E,135108430,135115455,7025,166411566,166414340,2774,1,No,12,5
135117552,52424245,0.288831,-,-,4,Interchromosomal,Yes,No,InFrame,CA-AC,NonCanonicalPattern,13848946,1,1,M,M,135116731,135119225,2494,52423686,52424617,931,3,Yes,1,1
135117554,52424247,0.245808,-,-,6,Interchromosomal,Yes,No,InFrame,AC-TC,NonCanonicalPattern,24409290,1,1,M,M,135116731,135119225,2494,52423686,52424617,931,3,Yes,1,1
135117555,52424248,0.376709,-,-,7,Interchromosomal,Yes,No,InFrame,GA-AT,NonCanonicalPattern,18581959,1,1,M,M,135116731,135119225,2494,52423686,52424617,931,3,Yes,1,1
135118397,130964374,0.238838,-,-,12,Interchromosomal,Yes,No,FrameShift,GC-GA,NonCanonicalPattern,50243357,1,4,M,M,135116731,135119225,2494,130963597,130965614,2017,1,No,1,4
135134226,82968146,0.172104,-,-,4,Interchromosomal,Yes,No,InFrame,GC-AG,CanonicalPattern,23241741,5,1,M,M,135133720,135135542,1822,82967419,82968886,1467,1,No,5,1
135194042,173060791,0.166179,+,+,4,Interchromosomal,Yes,No,InFrame,AG-GG,NonCanonicalPattern,24070474,1,1,M,M,135193729,135195447,1718,173060419,173064258,3839,1,No,5,5
135195367,153169863,1.40962,+,+,10,Interchromosomal,Yes,No,InFrame,TA-TC,NonCanonicalPattern,7094107,4,1,M,M,135193729,135195447,1718,153169382,153179147,9765,1,No,5,23
135247983,160751813,0.11547,-,-,4,Interchromosomal,Yes,No,InFrame,CC-TG,NonCanonicalPattern,34640958,5,5,M,M,135247970,135249501,1531,160748564,160754101,5537,1,No,5,5
135248277,137349756,2.05978,-,+,46,Interchromosomal,No,No,InFrame,GG-TC,NonCanonicalPattern,22332479,5,1,M,M,135247970,135249501,1531,137349732,137363231,13499,1,No,5,8
135447564,24434830,0.45872,-,+,16,Interchromosomal,No,Yes,InFrame,GC-AG,CanonicalPattern,34879640,1,1,M,M,135430603,135447993,17390,24434449,24439165,4716,1,No,5,5
135447949,151323830,0.181696,-,+,6,Interchromosomal,No,No,InFrame,TA-AA,NonCanonicalPattern,33022244,1,6,M,M,135430603,135447993,17390,151322071,151324004,1933,1,No,5,7
135459236,19053963,0.175022,+,-,4,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,22854251,2,1,M,M,135458709,135461231,2522,19052344,19054343,1999,1,No,6,1
135521183,78181479,0.347167,-,-,4,Intrachromosomal,Yes,No,InFrame,CG-TT,NonCanonicalPattern,11521819,1,9,M,M,135517262,135521205,3943,78181198,78188220,7022,1,No,2,8
135865003,53271407,0.318895,+,+,10,Interchromosomal,Yes,No,InFrame,GC-AG,CanonicalPattern,31358246,1,1,M,M,135864932,135865861,929,53271404,53274669,3265,1,No,1,7
13587133,179185508,0.130735,+,-,4,Interchromosomal,No,No,FrameShift,TG-GA,NonCanonicalPattern,30596194,1,1,M,M,13586806,13594450,7644,179185033,179187440,2407,1,No,16,1
135924118,65471044,0.287097,-,+,7,Interchromosomal,No,No,InFrame,CT-GC,NonCanonicalPattern,24382024,1,1,M,M,135918283,135924909,6626,65470772,65475328,4556,1,No,15,8
135963456,237293596,0.245201,+,-,4,Interchromosomal,No,No,FrameShift,CG-GG,NonCanonicalPattern,16313153,3,1,M,M,135961917,135964447,2530,237292336,237294077,1741,1,No,2,1
135963492,30336210,0.283395,+,-,4,Interchromosomal,No,No,InFrame,GT-AT,NonCanonicalPattern,14114563,3,1,M,M,135961917,135964447,2530,30335295,30336335,1040,1,No,2,2
136268115,23234560,0.532584,-,+,13,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,24409290,4,4,M,M,136267652,136272107,4455,23230509,23234898,4389,2,Yes,3,4
