LeftBreakpoint,RightBreakpoint,FFPM,Total_Count_(SC+RC),Splice_Site,Total_Mapped_Reads,Left_Exon,Right_Exon,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,exon_count5,exon_count3,LeftStrand_+,LeftStrand__,RightStrand__,RightStrand_+,Chromosome_Feature_Interchromosomal,Chromosome_Feature_Intrachromosomal,Same_Strand_No,Same_Strand_Yes,Reciprocal_Fusion_Yes,Reciprocal_Fusion_No,Splice_Pattern_InFrame,Splice_Pattern_FrameShift,Splice_Pattern_Unknown,Splice_Pattern_Class_CanonicalPattern,Splice_Pattern_Class_NonCanonicalPattern,5_loc_M,5_loc_S,5_loc_E,5_loc_O,3_loc_M,3_loc_S,3_loc_E,3_loc_O,alternative_junction_Yes,alternative_junction_No
22215326,179433116,2.34802,51.0,0,21720433.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
88328921,88210835,3.91337,85.0,0,21720433.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1591400,168184217,0.147492,6.0,0,40680246.0,1.0,2.0,1571478.0,1591655.0,20177.0,168179210.0,168220211.0,41001.0,1,17,11,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
11564038,11242269,1.74532,71.0,0,40680246.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.37659,56.0,0,40680246.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
88328921,88210835,3.71188,151.0,0,40680246.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
209484461,273585849,0.141971,4.0,1,28174672.0,2.0,1.0,209484180.0,209488328.0,4148.0,273584512.0,273586069.0,1557.0,1,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
11564038,11242269,1.63267,46.0,0,28174672.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.4907,42.0,0,28174672.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
6279971,148937947,0.283943,8.0,2,28174672.0,2.0,6.0,6279708.0,6280173.0,465.0,148937916.0,148943149.0,5233.0,2,3,6,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
164418980,175802276,0.283943,8.0,3,28174672.0,1.0,1.0,164418924.0,164419763.0,839.0,175802070.0,175806400.0,4330.0,1,1,5,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
11564038,11242269,2.06031,51.0,0,24753525.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.29275,32.0,0,24753525.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
6279971,148937947,0.363585,9.0,2,24753525.0,2.0,6.0,6279708.0,6280173.0,465.0,148937916.0,148943149.0,5233.0,2,3,6,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
33587191,206008968,0.161593,4.0,0,24753525.0,1.0,1.0,33585557.0,33587502.0,1945.0,206008252.0,206012276.0,4024.0,1,1,4,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
143804379,25480782,0.847903,20.0,0,23587600.0,3.0,2.0,143803041.0,143815396.0,12355.0,25479149.0,25481360.0,2211.0,1,10,3,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
224575945,175939687,0.720718,17.0,0,23587600.0,6.0,5.0,224573067.0,224576214.0,3147.0,175939332.0,175949107.0,9775.0,2,6,5,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
178375245,134951530,0.254371,6.0,0,23587600.0,1.0,2.0,178374985.0,178379549.0,4564.0,134951305.0,134952576.0,1271.0,1,5,4,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
220068283,219981559,1.18706,28.0,0,23587600.0,5.0,1.0,220063974.0,220076020.0,12046.0,219981543.0,219983203.0,1660.0,3,10,4,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
88328921,88210835,3.60359,85.0,0,23587600.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
143804379,25480782,1.00972,21.0,0,20797768.0,3.0,2.0,143803041.0,143815396.0,12355.0,25479149.0,25481360.0,2211.0,1,10,3,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
134570656,1185148,0.288492,6.0,0,20797768.0,1.0,4.0,134567737.0,134571146.0,3409.0,1181957.0,1187237.0,5280.0,3,8,12,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
224575945,175939687,0.384657,8.0,0,20797768.0,6.0,5.0,224573067.0,224576214.0,3147.0,175939332.0,175949107.0,9775.0,2,6,5,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
178375245,134951530,0.336575,7.0,0,20797768.0,1.0,2.0,178374985.0,178379549.0,4564.0,134951305.0,134952576.0,1271.0,1,5,4,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
220068283,219981559,1.53863,32.0,0,20797768.0,5.0,1.0,220063974.0,220076020.0,12046.0,219981543.0,219983203.0,1660.0,3,10,4,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
88328921,88210835,3.02917,63.0,0,20797768.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
16602799,256719298,0.511819,11.0,0,21491992.0,9.0,4.0,16601750.0,16617586.0,15836.0,256712433.0,256721805.0,9372.0,6,17,24,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
22215326,179433116,1.53546,33.0,0,21491992.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
16602799,256719298,0.583086,14.0,0,24010192.0,9.0,4.0,16601750.0,16617586.0,15836.0,256712433.0,256721805.0,9372.0,6,17,24,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
274384166,72738221,0.333192,8.0,4,24010192.0,1.0,2.0,274383766.0,274409275.0,25509.0,72729302.0,72738636.0,9334.0,1,8,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
22215326,179433116,1.33277,32.0,0,24010192.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1591400,168184217,0.293763,6.0,0,20424661.0,1.0,2.0,1571478.0,1591655.0,20177.0,168179210.0,168220211.0,41001.0,1,17,11,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
303194318,153873539,0.129729,4.0,0,30833417.0,1.0,2.0,303194132.0,303195002.0,870.0,153872188.0,153874466.0,2278.0,1,4,5,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1591400,168184217,0.227026,7.0,0,30833417.0,1.0,2.0,1571478.0,1591655.0,20177.0,168179210.0,168220211.0,41001.0,1,17,11,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
16098607,16326149,0.291891,9.0,0,30833417.0,6.0,14.0,16090658.0,16105425.0,14767.0,16311355.0,16327632.0,16277.0,1,7,15,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
11564038,11242269,2.05212,44.0,0,21441272.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
16098607,16326149,0.186556,4.0,0,21441272.0,6.0,14.0,16090658.0,16105425.0,14767.0,16311355.0,16327632.0,16277.0,1,7,15,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
118278393,167699286,0.373112,8.0,5,21441272.0,1.0,1.0,118277160.0,118279606.0,2446.0,167699229.0,167700791.0,1562.0,2,3,3,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
178375245,134951530,0.186556,4.0,0,21441272.0,1.0,2.0,178374985.0,178379549.0,4564.0,134951305.0,134952576.0,1271.0,1,5,4,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
