LeftBreakpoint,RightBreakpoint,LeftStrand,RightStrand,Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Site,Splice_Pattern_Class,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3,label
12232672,11992074,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,2,3,E,S,12223878,12363947,140070,11802788,12048336,245549,2,Yes,6,8,1
33203846,33954417,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,7,6,S,E,33148346,33265089,116744,33890381,33999833,109453,1,No,12,10,1
206858853,206589249,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,8,E,S,206858289,206907626,49338,206516196,206637783,121588,1,No,10,18,1
3018746,7054934,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,2,3,E,S,3000033,3050304,50272,7053203,7055165,1963,1,No,12,3,1
119683178,84961565,-,+,Intrachromosomal,No,No,GG-GA,NonCanonicalPattern,1,7,S,S,119573839,119683295,109457,84944920,84964033,19114,1,No,6,9,1
202205121,59483831,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,4,2,E,E,202163118,202288889,125772,59482304,59560304,78001,1,No,16,2,1
127904912,127912200,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,6,S,E,127704887,127905797,200911,127908852,127952218,43367,1,No,19,6,1
116123017,170837531,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,3,11,E,S,116111812,116133513,21702,170814798,170837888,23091,1,No,6,11,1
40746900,156964999,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,4,S,E,40711678,40756072,44395,156904312,157002768,98457,1,No,5,23,1
27277336,29758831,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,13,2,S,S,27252861,27543446,290586,29718642,29865232,146591,1,No,16,15,1
160634449,21880471,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,5,2,S,S,160625139,160654766,29628,21835858,21904905,69048,1,No,6,12,1
58095897,57843460,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,16,6,E,S,57994127,58157978,163852,57743174,57914894,171721,4,Yes,46,21,1
35383166,35769717,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,9,11,S,E,35380194,35402230,22037,35729629,35807974,78346,1,No,10,13,1
148841029,168343809,+,+,Intrachromosomal,Yes,Yes,GT-GG,NonCanonicalPattern,10,22,E,S,148663729,148873184,209456,168227671,168372703,145033,1,No,20,28,1
92461696,100165803,-,+,Intrachromosomal,No,No,GG-GA,NonCanonicalPattern,14,4,S,S,92435462,92506817,71356,100150755,100193638,42884,2,Yes,21,15,1
31697828,31725942,-,+,Intrachromosomal,No,No,GG-GA,NonCanonicalPattern,1,13,S,S,31694817,31698039,3223,31707774,31730453,22680,1,No,7,25,1
9290569,8983488,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,5,S,E,9022278,9291311,269034,8921560,9005146,83587,2,Yes,22,13,1
91017365,89719043,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,22,6,E,S,90931473,91045475,114003,89631381,89745591,114211,1,No,38,11,1
47471176,46782224,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,2,4,E,S,47445525,47594999,149475,46769380,46782448,13069,1,No,18,4,1
110334538,148544985,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,2,2,S,S,110253148,110346350,93203,148538539,148556674,18136,1,No,10,10,1
75062632,160783426,-,+,Interchromosomal,No,No,GG-GA,NonCanonicalPattern,1,3,S,S,74976482,75062873,86392,160765928,160798045,32118,1,No,15,10,1
139405604,22143097,-,-,Interchromosomal,Yes,Yes,GG-AG,NonCanonicalPattern,16,5,S,E,139388896,139440238,51343,22113946,22221970,108025,1,No,34,8,1
16174645,16096904,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,2,E,S,16174359,16266950,92592,16085255,16113084,27830,3,Yes,15,5,1
71542577,69112654,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,3,7,S,E,71004736,71633140,628405,69103881,69129524,25644,1,No,21,17,1
111940790,88883055,+,+,Interchromosomal,Yes,No,GT-GA,NonCanonicalPattern,17,5,E,S,111767624,111958081,190458,88852012,88904804,52793,1,No,20,12,1
69631088,27434407,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,2,S,E,69624736,69634192,9457,27387508,27494334,106827,1,No,3,18,1
32022391,33467233,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,2,S,E,31702317,32023238,320922,33429828,33481897,52070,1,No,13,15,1
38219345,35771356,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,1,2,E,S,38219063,38250120,31058,35767312,35837226,69915,1,No,10,16,1
35446045,26490194,+,+,Interchromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,33,E,S,35445823,35515334,69512,26223002,26501465,278464,1,No,3,35,1
37329015,52664560,-,-,Intrachromosomal,Yes,No,AG-AG,NonCanonicalPattern,8,21,S,E,37183232,37393500,210269,52599480,52821247,221768,1,No,13,41,1
41362953,57522178,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,1,3,E,E,41362804,41702061,339258,57514154,57547872,33719,1,No,26,4,1
99028074,99175915,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,7,S,E,99007182,99038589,31408,99129071,100378432,1249362,1,No,3,11,1
90024282,99028191,-,-,Intrachromosomal,Yes,No,AG-AG,NonCanonicalPattern,5,2,S,E,89981826,90049844,68019,99007182,99038589,31408,1,No,20,3,1
1577023,31854936,-,-,Interchromosomal,Yes,No,GG-AG,NonCanonicalPattern,9,6,S,E,1571100,1590473,19374,31137345,33357726,2220382,1,No,20,35,1
10157503,10138010,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,42,E,S,10157333,10168874,11542,10068113,10143614,75502,1,No,3,44,1
74123993,45951105,-,+,Interchromosomal,No,No,GG-GC,NonCanonicalPattern,1,2,S,S,73940502,74124502,184001,45927256,45983479,56224,1,No,34,10,1
95829961,87038708,-,-,Interchromosomal,Yes,No,TG-AG,NonCanonicalPattern,13,24,S,E,95672083,95953687,281605,87031361,87105019,73659,1,No,21,28,1
78547399,46888156,+,+,Interchromosomal,Yes,No,GT-GA,NonCanonicalPattern,2,3,E,S,78505560,78808357,302798,46825097,46933634,108538,1,No,21,42,1
