LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3
22215326,179433116,2.34802,+,-,51,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,21720433,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
88328921,88210835,3.91337,-,+,85,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,21720433,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
1591400,168184217,0.147492,-,+,6,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,40680246,1,2,S,S,1571478,1591655,20177,168179210,168220211,41001,1,No,17,11
11564038,11242269,1.74532,+,-,71,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,40680246,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.37659,+,-,56,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,40680246,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
88328921,88210835,3.71188,-,+,151,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,40680246,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
209484461,273585849,0.141971,-,-,4,Interchromosomal,Yes,No,InFrame,CT-CC,NonCanonicalPattern,28174672,2,1,M,M,209484180,209488328,4148,273584512,273586069,1557,1,No,2,1
11564038,11242269,1.63267,+,-,46,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,28174672,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.4907,+,-,42,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,28174672,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
6279971,148937947,0.283943,+,-,8,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,28174672,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
