LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3
332126,341223,0.06,-,-,2.0,Intrachromosomal,Yes,No,InFrame,CC-GT,NonCanonicalPattern,33333333,10,1,M,M,330588,337912,7324,340108,342040,1932,1,No,11,1
1180479,1187648,0.1528,-,-,4.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,26178011,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187648,0.9398,-,-,3.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3192169,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.3301,-,-,3.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,9088155,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.5081,-,-,2.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3936233,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.508,-,-,2.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3937008,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.5347,-,-,14.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,26182906,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.5729,-,-,15.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,26182580,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.762,-,-,3.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3937008,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,0.842,-,-,3.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3562945,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1180479,1187697,1.5244,-,-,6.0,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3935975,7,2,S,M,1179310,1183704,4394,1185512,1188696,3184,2,Yes,8,5
1374248,1376525,0.7662,-,-,3.0,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3915427,4,7,S,E,1373234,1375821,2587,1375824,1379228,3404,1,No,7,7
